Company,Job Title,Location,Job Type,Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Perk 1,Perk 2,Perk 3,Perk 4,Perk 5,Perk 6,Required Skills,all_perks,tags
Zscaler,Data Science Intern- Undergrad (Summer 2023),"San Jose, CA, United States",Internship,Entry-level,Agile,Architecture,Data analysis,Data Analytics,Data strategy,Data visualization,Competitive pay,Equity,Health care,,,,"Agile, Architecture, Data analysis, Data Analytics, Data strategy, Data visualization","Competitive pay, Equity, Health care","data science intern- undergrad (summer 2023) agile, architecture, data analysis, data analytics, data strategy, data visualization"
RYTE Corporation,R&D Data Scientist Intern (Alternance),"Nice, Provence-Alpes-Côte d'Azur, France",Internship,Entry-level,Big Data,Computer Science,Deep Learning,Engineering,Keras,Python,Career development,Flex vacation,,,,,"Big Data, Computer Science, Deep Learning, Engineering, Keras, Python","Career development, Flex vacation","r&d data scientist intern (alternance) big data, computer science, deep learning, engineering, keras, python"
SOMFY Group,Alternance Data Analyst (H/F),"Cluses, France",Full Time,Entry-level,Data analysis,Excel,Power BI,Python,R,R&D,Salary bonus,,,,,,"Data analysis, Excel, Power BI, Python, R, R&D",Salary bonus,"alternance data analyst (h/f) data analysis, excel, power bi, python, r, r&d"
RYTE Corporation,MLOps Engineer Intern (Alternance),"Nice, Provence-Alpes-Côte d'Azur, France",Internship,Entry-level,Azure,Big Data,CI/CD,Computer Science,Databricks,Deep Learning,Career development,,,,,,"Azure, Big Data, CI/CD, Computer Science, Databricks, Deep Learning",Career development,"mlops engineer intern (alternance) azure, big data, ci/cd, computer science, databricks, deep learning"
RYTE Corporation,Data Scientist (NLP & ML) Intern (Alternance),"Nice, Provence-Alpes-Côte d'Azur, France",Internship,Entry-level,Azure,Big Data,C++,Computer Science,Deep Learning,Docker,Career development,,,,,,"Azure, Big Data, C++, Computer Science, Deep Learning, Docker",Career development,"data scientist (nlp & ml) intern (alternance) azure, big data, c++, computer science, deep learning, docker"
Shadow,Data Analyst / Data Scientist Intern (H/F/X) - July 2023,Paris,Internship,Entry-level,Agile,Clustering,Data analysis,Data visualization,KPIs,Pandas,Career development,Flex hours,Flex vacation,,,,"Agile, Clustering, Data analysis, Data visualization, KPIs, Pandas","Career development, Flex hours, Flex vacation","data analyst / data scientist intern (h/f/x) - july 2023 agile, clustering, data analysis, data visualization, kpis, pandas"
Zuora,Data Science Intern,"Redwood City, California, United States",Internship,Entry-level,Avro,AWS,Computer Science,CSV,DynamoDB,Finance,Career development,Competitive pay,Health care,,,,"Avro, AWS, Computer Science, CSV, DynamoDB, Finance","Career development, Competitive pay, Health care","data science intern avro, aws, computer science, csv, dynamodb, finance"
Shippeo,Data Scientist - Internship,"Paris, France",Internship,Entry-level,A/B testing,Engineering,Machine Learning,ML models,MLOps,Model design,,,,,,,"A/B testing, Engineering, Machine Learning, ML models, MLOps, Model design",,"data scientist - internship a/b testing, engineering, machine learning, ml models, mlops, model design"
"6sense Insights, Inc.",Data Scientist Intern,"United States, Remote",Internship,Entry-level,APIs,Big Data,Business Analytics,Data analysis,Data Analytics,Data visualization,Career development,Gear,Health care,,,,"APIs, Big Data, Business Analytics, Data analysis, Data Analytics, Data visualization","Career development, Gear, Health care","data scientist intern apis, big data, business analytics, data analysis, data analytics, data visualization"
Chime,Data Analytics Intern,"San Francisco, CA",Internship,Entry-level,Banking,Data Analytics,Data visualization,Distributed Systems,Economics,FinTech,401(k) matching,Career development,Competitive pay,,,,"Banking, Data Analytics, Data visualization, Distributed Systems, Economics, FinTech","401(k) matching, Career development, Competitive pay","data analytics intern banking, data analytics, data visualization, distributed systems, economics, fintech"
Shippeo,INTERNSHIP: IT Project Manager - Data Integration (M/F/D),"Paris, France",Internship,Entry-level,Agile,Engineering,KPIs,,,,,,,,,,"Agile, Engineering, KPIs",,"internship: it project manager - data integration (m/f/d) agile, engineering, kpis"
Lacework,Analytics Engineer Intern,United States,Internship,Entry-level,BigQuery,Computer Science,Data analysis,Data warehouse,Engineering,Finance,,,,,,,"BigQuery, Computer Science, Data analysis, Data warehouse, Engineering, Finance",,"analytics engineer intern bigquery, computer science, data analysis, data warehouse, engineering, finance"
Illumio,"Data Analyst Intern, Business Intelligence","Sunnyvale, California",Internship,Entry-level,Business Intelligence,Data governance,Excel,Security,SQL,,Equity,,,,,,"Business Intelligence, Data governance, Excel, Security, SQL",Equity,"data analyst intern, business intelligence business intelligence, data governance, excel, security, sql"
Amazon.com,Applied Scientist Intern,"Bellevue, Washington, USA",Full Time,Entry-level,Big Data,Data Analytics,Data Mining,Engineering,Machine Learning,Mathematics,Career development,Equity,,,,,"Big Data, Data Analytics, Data Mining, Engineering, Machine Learning, Mathematics","Career development, Equity","applied scientist intern big data, data analytics, data mining, engineering, machine learning, mathematics"
OpenX,Intern - Machine Learning,Krakow,Internship,Entry-level,AWS,Azure,Big Data,Computer Science,Data analysis,Dataflow,Career development,Flex hours,Startup environment,,,,"AWS, Azure, Big Data, Computer Science, Data analysis, Dataflow","Career development, Flex hours, Startup environment","intern - machine learning aws, azure, big data, computer science, data analysis, dataflow"
Coda Payments,Data Science - Intern,"Kuala Lumpur, Malaysia",Internship,Entry-level,Classification,Computer Science,Engineering,Finance,FinTech,Machine Learning,Career development,Flex hours,,,,,"Classification, Computer Science, Engineering, Finance, FinTech, Machine Learning","Career development, Flex hours","data science - intern classification, computer science, engineering, finance, fintech, machine learning"
Kpler,Data Scientist - Internship,"Brussels, London, Paris, Vienna, Dubai, Houston, New …",Internship,Entry-level,Data analysis,Data quality,Data visualization,Git,Machine Learning,ML models,,,,,,,"Data analysis, Data quality, Data visualization, Git, Machine Learning, ML models",,"data scientist - internship data analysis, data quality, data visualization, git, machine learning, ml models"
Publicis Groupe,Intern Program: Data Science Intern,"Atlanta, GA, United States",Internship,Entry-level,Cluster analysis,Data analysis,Privacy,SAS,Statistics,,Career development,Competitive pay,Equity,,,,"Cluster analysis, Data analysis, Privacy, SAS, Statistics","Career development, Competitive pay, Equity","intern program: data science intern cluster analysis, data analysis, privacy, sas, statistics"
Infinitus,📈 NLP Research Intern,"San Francisco, CA",Internship,Entry-level,Conversational AI,Deep Learning,NLP,PhD,PyTorch,Research,Career development,Conferences,Startup environment,,,,"Conversational AI, Deep Learning, NLP, PhD, PyTorch, Research","Career development, Conferences, Startup environment","📈 nlp research intern conversational ai, deep learning, nlp, phd, pytorch, research"
NBCUniversal,Act Two Program - Data Engineer,"Universal City, CALIFORNIA, United States",Full Time,Entry-level,Agile,Airflow,Big Data,Computer Science,Data Analytics,Data management,Career development,Flex hours,Flex vacation,,,,"Agile, Airflow, Big Data, Computer Science, Data Analytics, Data management","Career development, Flex hours, Flex vacation","act two program - data engineer agile, airflow, big data, computer science, data analytics, data management"
Visa,Intern Associate Data Analyst – Undergrad – Austin,"Austin, TX, United States",Internship,Entry-level,Computer Science,Data Analytics,Data visualization,Engineering,Excel,SQL,Equity,Health care,Insurance,,,,"Computer Science, Data Analytics, Data visualization, Engineering, Excel, SQL","Equity, Health care, Insurance","intern associate data analyst – undergrad – austin computer science, data analytics, data visualization, engineering, excel, sql"
